news,value
"Потерянное свидетельство о браке можно восстановить через Госуслуги
",0.0
"Прочие события за 3-7 октября
",0.0
"Подписан закон о кредитных каникулах для военнослужащих
",0.0
"Мобилизованных граждан и их семьи освободили от пеней за неоплату ЖКХ
",0.0
"В случае мобилизации работника нужно оперативно сдать СЗВ-ТД
",0.0
"В ТК внесены «мобилизационные» поправки
",0.0
"Детский НДФЛ-вычет может получить и безработный
",0.0
"Когда получивший повестку вправе не идти в военкомат
",0.0
"Отсрочка от частичной мобилизации: новый план
",0.0
"ИФНС не может отказать в сверке расчетов
",0.0
"Определены новые лимиты на привлечение иностранных сотрудников
",0.0
"Горячая линия по мобилизации: теперь и для работодателей
",0.0
"Декларации по НДС и прибыли за III квартал: главное за 5 минут
",0.0
"Отсрочку от мобилизации получили больше учащихся
",0.0
"Правила заполнения платежек решили полностью переписать
",0.0
"Путешествия во время частичной мобилизации: разъясняет Ростуризм
",0.0
"Включаются ли мобилизованные работники в среднесписочную численность
",0.0
"Аккредитованным IT-компаниям нужно оперативно рассекретить налоговые тайны
",0.0
"Сотрудники военкоматов не вправе опечатывать квартиры призывников
",0.0
"Предварительно определены коэффициенты-дефляторы на 2023 год
",0.0
"Мобилизация сотрудников не влияет на право организации на льготные кредиты
",0.0
"Работодатель не должен требовать от сотрудника номер электронного больничного
",0.0
"Кредитные каникулы для мобилизованных: разъяснения Центробанка
",0.0
"Отпуск, из которого работника призвали по мобилизации, продлевается
",0.0
"Как обжаловать получение повестки
",0.0
"Подготовлены меры поддержки бизнеса в условиях мобилизации
",0.0
"Мобилизованным самозанятым не нужно сниматься с учета
",0.0
"Можно ли работать по совместительству, пока на основной работе обед
",0.0
"Для частичной мобилизации установят особые правила по отсрочке
",0.0
"Подготовлены важные поправки для мобилизованных ИП
",0.0
"Отчетность за III квартал и «мобилизационные» проблемы: все, что нужно знать
",0.0
"Налоговики раскрыли данные о доходах и расходах компаний
",0.0
"Читайте журнал «Главная книга» № 20 за 2022 год
",0.0
"Бизнес освободили от большинства проверок
",0.0
"Как сдавать отчетность, если директора мобилизовали
",0.0
"Конференция ГК два в одном: спешите получить ответы на горячие вопросы
",0.0
"Введен запрет на перевозки по РФ грузовиками недружественных перевозчиков
",0.0
"Откорректированы условия госаккредитации IT-компаний
",0.0
"Смена инспекции: как платить налоги
",0.0
"Самозанятые смогут «купить» себе больничный
",0.0
"Мобилизованных могут освободить от уплаты налога на имущество
",0.0
"В Москве открылся центр поддержки семей мобилизованных
",0.0
"Прочие события за 26-30 сентября
",0.0
"С мобилизованных граждан временно перестанут взыскивать долги
",0.0
"Рекомендованы новые коды для НДС-декларации
",0.0
"Не пропустите срок сдачи отчетности по воинскому учету
",0.0
"Ограничения на перевод «физиками» денег за границу продлены
",0.0
"Неправомерно мобилизованных должны вернуть домой
",0.0
"Будут введены отдельные штрафы за «прослеживаемые» ошибки
",0.0
"Планируется уточнить основания для отсрочки от мобилизации для многодетных
",0.0
"Что нужно сделать бухгалтеру с 3 по 7 октября
",0.0
"Мужчинам «запретили» выезжать из РФ, но быстро разрешили снова
",0.0
"Заработала горячая линия для родственников мобилизованных
",0.0
"Иностранным перевозчикам могут запретить перевозить грузы по России
",0.0
"Когда за авто не из «роскошного» перечня нужно платить повышенный транспортный налог
",0.0
"Счета-фактуры на прослеживаемые товары будут заполняться иначе
",0.0
"При оформлении матерью детского пособия справки нужны со всех работ отца
",0.0
"Мобилизованных граждан освободят от пеней за неоплату коммуналки
",0.0
"«Мобилизационные» изменения в СЗВ-ТД и СЗВ-СТАЖ
",0.0
"На мобилизованных работников нужно сдавать СЗВ-ТД
",0.0
"В Трудовой кодекс внесут «мобилизационные» дополнения
",0.0
"Подать заявление на отсрочку от мобилизации можно через Госуслуги
",0.0
"Мобилизация и бизнес – главное за 5 минут
",0.0
"Подготовлена новая форма НДС-декларации
",0.0
"Мобилизованные граждане могут вернуть деньги за билеты на поезда и самолеты
",0.0
"Работников, уволенных в связи с мобилизацией, нужно восстановить
",0.0
"Появился документ, необходимый для подачи заявления на отсрочку от мобилизации
",0.0
"Минобороны НЕ запрашивает у предприятий списки военнообязанных работников по электронке
",0.0
"Минцифры опубликовало перечень специальностей, рекомендуемых к отсрочке от мобилизации
",0.0
"Мораторий на валютные проверки: разъяснение ФНС
",0.0
"Как оформляется больничный по уходу за двумя детьми
",0.0
"По какому курсу можно снять рубли с валютного счета
",0.0
"Мобилизованные граждане получили скидку на нотариальные услуги
",0.0
"В военкомате отказали в отсрочке – пишите в Минцифры
",0.0
"Временный «трудовой» порядок продлен на год
",0.0
"Приостановление трудового договора с мобилизованным сотрудником: разъяснения Минтруда
",0.0
"Утверждена новая форма декларации по налогу на имущество
",0.0
"Что делать студенту, получившему повестку
",0.0
"Студентов не будут призывать по мобилизации
",0.0
"Утверждено заявление о включении в реестр туристской индустрии
",0.0
"Доходы семей с детьми от продажи земли освободят от НДФЛ
",0.0
"В 2023 году появится новое универсальное пособие
",0.0
"Списки призывников в Интернете и прочие фейки о мобилизации
",0.0
"Прочие события за 19-23 сентября
",0.0
"Заработала горячая линия о мобилизации
",0.0
"В 2023 году МРОТ до 30 тысяч не поднимут
",0.0
"Что делать работнику, получившему повестку: памятка для сотрудников СМИ
",0.0
"Что делать работнику, получившему повестку: памятка для сотрудников операторов связи
",0.0
"Что делать работнику, получившему повестку: памятка для сотрудников IT-компаний
",0.0
"Уведомлять о создании обособок нужно по новой форме
",0.0
"Расширен перечень граждан, не подлежащих мобилизации
",0.0
"Минобороны ответило на главные вопросы о мобилизации
",0.0
"Утвержден формат электронного акта приемки работ
",0.0
"За мобилизованными гражданами сохранят рабочие места
",0.0
"Где гражданам искать информацию о налоговых уведомлениях и личных налогах
",0.0
"Что нужно сделать бухгалтеру с 26 по 30 сентября
",0.0
"Как заполнить СЗВ-ТД при увольнении в связи с ликвидацией филиала
",0.0
"Водителей не будут мобилизовывать прямо с дорог
",0.0
"Справка о зарплате с прошлой работы может быть и электронной
",0.0
"Испытательный срок: что нужно знать
",0.0
"В ТК РФ внесли дополнительные трудовые гарантии для мобилизованных и членов их семей В Трудовой кодекс внесены новые положения, которые закрепляют дополнительные трудовые гарантии для работников, призванных на военную службу по мобилизации.
",0.0
"Вступил в силу закон о кредитных каникулах для мобилизованных граждан  С 7 октября 2022 года вступил в силу Федеральный закон от 07.10.2022 № 377-ФЗ, который дает право гражданам, призванным на военную службу в рамках мобилизации, а также членам их семей оформить кредитные каникулы.
",0.0
"Вышел октябрьский электронный номер журнала «БУХ.1С» Вышел октябрьский  электронный номер журнала «БУХ.1С».
",0.0
"Выпущена версия 3.0.121.3 конфигурации «Гаражи»  \t Выпущена версия 3.0.121.3 конфигурации Гаражи (ред. 3.0) для 1С:Предприятия 8.
",0.0
"Как мобилизованному сохранить статус ИП и приостановить начисление налогов Эксперты ФНС разъяснили, как мобилизованный ИП, применяющий патентную систему налогообложения (ПСН), который не планирует вести деятельность, может не уплачивать налог и сохранить статус ИП.
",0.0
"Выпущена версия 3.0.121.12 конфигурации «Бухгалтерия некоммерческой организации» (ПРОФ, КОРП)  \t Выпущена версия 3.0.121.12 конфигурации Бухгалтерия некоммерческой организации (версии ПРОФ, КОРП, ред. 3.0) для 1С:Предприятия 8.
",0.0
"Можно ли перейти с УСН или ЕСХН на автоматизированную УСН с 2023 года  Эксперты ФНС разъяснили, как налогоплательщику на УСН (ЕСХН) перейти на применение специального налогового режима «Автоматизированная упрощенная система налогообложения» (АУСН).
",0.0
"Самое новое в «1С:Бухгалтерии 8»: электронные перевозочные документы Мы продолжаем серию «Самое новое в «1С:Бухгалтерии 8», в которой регулярно рассказываем об изменениях в новых версиях решения, о том, что в них появилось интересного, важного и полезного для бухгалтера.
",0.0
"Мобилизованные граждане освобождены от уплаты налога на имущество  ФНС предупредила, что мобилизованные граждане освобождены нормами стати 407 НК РФ от уплаты налога на имущество на период военной службы.
",0.0
"ФНС изменит список стран, с которыми осуществляется обмен финансовой информацией ФНС подготовила новый перечень государств и территорий, с которыми осуществляется автоматический обмен финансовой информацией.
",0.0
"Повышение лимитов для УСН, упрощенные правила для «алкогольных» лицензий и проверки без штрафов: самые хорошие новости недели БУХ.1С напоминает о самых позитивных бухгалтерских новостях уходящей недели.
",0.0
"Единый семинар 1С для бухгалтеров и руководителей пройдет 12 октября 2022 года 12 октября 2022 в 10:00 по местному времени фирма «1С» проводит Единый семинар для бухгалтеров и руководителей.
",0.0
"Работодателей обязали сдавать СЗВ-ТД при приостановлении трудового договора с мобилизованным работником  С 7 октября 2022 года вступили в силу поправки в закон о персонифицированном учете (от 00.04.1996 № 27-ФЗ), которые обязывают работодателей направлять в ПФР сведения о приостановлении трудового договора.
",0.0
"Выпущена версия 3.0.222.1 конфигурации «Налогоплательщик» Выпущена версия 3.0.222.1 конфигурации Налогоплательщик (ред. 3.0) для 1С:Предприятия 8.
",0.0
"Вправе ли работодатель отправлять форму СТД-Р уволенному работнику за границу  Эксперты Роструда разъяснили, вправе ли работодатель направить работнику, находящемуся за границей, заказным письмом форму СТД-Р.
",0.0
"Выпущена версия 11.5.9.119 конфигурации «Управление торговлей» (базовая) Выпущена версия 11.5.9.119 конфигурации Управление торговлей (ред. 11.5) базовая версия для 1С:Предприятия 8.
",0.0
"Опубликована видеозапись лекции об использовании СЭДО в программах 1С и особенностях оформления выплат пособий в 2022 году На странице 1С:Лектория опубликована видеозапись лекции эксперта 1С об использовании СЭДО в программах 1С и особенностях оформления выплат пособий в 2022 году.
",0.0
"ФНС установит для перевозчиков формат электронного договора фрахтования ФНС подготовила к утверждению формат электронного договора фрахтования. Предполагается, что данный формат вступит в силу с 1 марта 2023 года.
",0.0
"Выпущена версия 0.0.74.4 конфигурации «Бухгалтерия государственного учреждения» Выпущена версия 0.0.74.4 конфигурации Бухгалтерия государственного учреждения (ПРОФ и базовая, ред. 0.0) для 1С:Предприятия 8.
",0.0
"Выпущена версия 3.0.121.7 конфигурации «Садовод»  \t Выпущена версия 3.0.121.7 конфигурации Садовод (ред. 3.0) для 1С:Предприятия 8.
",0.0
"Главные анонсы 10–16 октября
",0.0
"Минтранс сообщил о стабильной работе паромной переправы в Крым
",0.0
"Германия пообещала Украине 100 танков из Греции и Словакии
",0.0
"Главные новости к утру 9 октября
",0.0
"Пентагон пока не комментирует взрыв на Крымском мосту
",0.0
"СКР возбудил уголовное дело после перестрелки с полицейскими в Москве
",0.0
"В Белоруссии возбудили первое уголовное дело о повышении цен после моратория Лукашенко
",0.0
"Япония по-прежнему считает «Сахалин-1» важным проектом для страны
",0.0
"МИД РФ: недостатка в посреднических услугах нет, мы от них не отказываемся
",0.0
"Минск вручил ноту украинскому послу за планы «нанесения удара по Белоруссии»
",0.0
"МИД РФ считает ДНР, ЛНР, Херсонскую и Запорожскую области частью Союзного государства
",0.0
"В Москве мужчина выстрелил в полицейских и был ранен ответным огнем
",0.0
"Норвегия ожидает четырехкратного роста нефтегазовых доходов по итогам года
",0.0
"Премьер Эстонии: Европе все сложнее вводить новые санкции
",0.0
"Толстой: придется вколотить Украину в XVIII век, после победы все восстановим
",0.0
"Квят финишировал 15-м в дебютной гонке во втором дивизионе NASCAR
",0.0
"Путин заявил о готовности РФ помогать беднейшим странам в продовольственных проблемах
",0.0
"Кадыров и Пригожин поддержали назначение Суровикина командующим войсками военной операции
",0.0
"ФАС не зафиксировала ажиотажа и роста цен на топливо в Крыму
",0.0
"Milliyet: Турция хочет организовать переговоры РФ с Западом по Украине
",0.0
"Главные анонсы 10–16 октября
",0.0
"Минтранс сообщил о стабильной работе паромной переправы в Крым
",0.0
"Германия пообещала Украине 100 танков из Греции и Словакии
",0.0
"Главные новости к утру 9 октября
",0.0
"Пентагон пока не комментирует взрыв на Крымском мосту
",0.0
"СКР возбудил уголовное дело после перестрелки с полицейскими в Москве
",0.0
"В Белоруссии возбудили первое уголовное дело о повышении цен после моратория Лукашенко
",0.0
"Япония по-прежнему считает «Сахалин-1» важным проектом для страны
",0.0
"МИД РФ: недостатка в посреднических услугах нет, мы от них не отказываемся
",0.0
"Минск вручил ноту украинскому послу за планы «нанесения удара по Белоруссии»
",0.0
"МИД РФ считает ДНР, ЛНР, Херсонскую и Запорожскую области частью Союзного государства
",0.0
"В Москве мужчина выстрелил в полицейских и был ранен ответным огнем
",0.0
"Норвегия ожидает четырехкратного роста нефтегазовых доходов по итогам года
",0.0
"Премьер Эстонии: Европе все сложнее вводить новые санкции
",0.0
"Толстой: придется вколотить Украину в XVIII век, после победы все восстановим
",0.0
"Квят финишировал 15-м в дебютной гонке во втором дивизионе NASCAR
",0.0
"Путин заявил о готовности РФ помогать беднейшим странам в продовольственных проблемах
",0.0
"Кадыров и Пригожин поддержали назначение Суровикина командующим войсками военной операции
",0.0
"ФАС не зафиксировала ажиотажа и роста цен на топливо в Крыму
",0.0
"Milliyet: Турция хочет организовать переговоры РФ с Западом по Украине
",0.0
"Главные анонсы 10–16 октября
",0.0
"Минтранс сообщил о стабильной работе паромной переправы в Крым
",0.0
"Германия пообещала Украине 100 танков из Греции и Словакии
",0.0
"Главные новости к утру 9 октября
",0.0
"Пентагон пока не комментирует взрыв на Крымском мосту
",0.0
"СКР возбудил уголовное дело после перестрелки с полицейскими в Москве
",0.0
"В Белоруссии возбудили первое уголовное дело о повышении цен после моратория Лукашенко
",0.0
"Япония по-прежнему считает «Сахалин-1» важным проектом для страны
",0.0
"МИД РФ: недостатка в посреднических услугах нет, мы от них не отказываемся
",0.0
"Минск вручил ноту украинскому послу за планы «нанесения удара по Белоруссии»
",0.0
"МИД РФ считает ДНР, ЛНР, Херсонскую и Запорожскую области частью Союзного государства
",0.0
"В Москве мужчина выстрелил в полицейских и был ранен ответным огнем
",0.0
"Норвегия ожидает четырехкратного роста нефтегазовых доходов по итогам года
",0.0
"Премьер Эстонии: Европе все сложнее вводить новые санкции
",0.0
"Толстой: придется вколотить Украину в XVIII век, после победы все восстановим
",0.0
"Квят финишировал 15-м в дебютной гонке во втором дивизионе NASCAR
",0.0
"Путин заявил о готовности РФ помогать беднейшим странам в продовольственных проблемах
",0.0
"Кадыров и Пригожин поддержали назначение Суровикина командующим войсками военной операции
",0.0
"ФАС не зафиксировала ажиотажа и роста цен на топливо в Крыму
",0.0
"Milliyet: Турция хочет организовать переговоры РФ с Западом по Украине
",0.0
"Главные анонсы 10–16 октября
",0.0
"Минтранс сообщил о стабильной работе паромной переправы в Крым
",0.0
"Германия пообещала Украине 100 танков из Греции и Словакии
",0.0
"Главные новости к утру 9 октября
",0.0
"Пентагон пока не комментирует взрыв на Крымском мосту
",0.0
"СКР возбудил уголовное дело после перестрелки с полицейскими в Москве
",0.0
"В Белоруссии возбудили первое уголовное дело о повышении цен после моратория Лукашенко
",0.0
"Япония по-прежнему считает «Сахалин-1» важным проектом для страны
",0.0
"МИД РФ: недостатка в посреднических услугах нет, мы от них не отказываемся
",0.0
"Минск вручил ноту украинскому послу за планы «нанесения удара по Белоруссии»
",0.0
"МИД РФ считает ДНР, ЛНР, Херсонскую и Запорожскую области частью Союзного государства
",0.0
"В Москве мужчина выстрелил в полицейских и был ранен ответным огнем
",0.0
"Норвегия ожидает четырехкратного роста нефтегазовых доходов по итогам года
",0.0
"Премьер Эстонии: Европе все сложнее вводить новые санкции
",0.0
"Толстой: придется вколотить Украину в XVIII век, после победы все восстановим
",0.0
"Квят финишировал 15-м в дебютной гонке во втором дивизионе NASCAR
",0.0
"Путин заявил о готовности РФ помогать беднейшим странам в продовольственных проблемах
",0.0
"Кадыров и Пригожин поддержали назначение Суровикина командующим войсками военной операции
",0.0
"ФАС не зафиксировала ажиотажа и роста цен на топливо в Крыму
",0.0
"Milliyet: Турция хочет организовать переговоры РФ с Западом по Украине
",0.0
"Главные анонсы 10–16 октября
",0.0
"Минтранс сообщил о стабильной работе паромной переправы в Крым
",0.0
"Германия пообещала Украине 100 танков из Греции и Словакии
",0.0
"Главные новости к утру 9 октября
",0.0
"Пентагон пока не комментирует взрыв на Крымском мосту
",0.0
"СКР возбудил уголовное дело после перестрелки с полицейскими в Москве
",0.0
"В Белоруссии возбудили первое уголовное дело о повышении цен после моратория Лукашенко
",0.0
"Япония по-прежнему считает «Сахалин-1» важным проектом для страны
",0.0
"МИД РФ: недостатка в посреднических услугах нет, мы от них не отказываемся
",0.0
"Минск вручил ноту украинскому послу за планы «нанесения удара по Белоруссии»
",0.0
"МИД РФ считает ДНР, ЛНР, Херсонскую и Запорожскую области частью Союзного государства
",0.0
"В Москве мужчина выстрелил в полицейских и был ранен ответным огнем
",0.0
"Норвегия ожидает четырехкратного роста нефтегазовых доходов по итогам года
",0.0
"Премьер Эстонии: Европе все сложнее вводить новые санкции
",0.0
"Толстой: придется вколотить Украину в XVIII век, после победы все восстановим
",0.0
"Квят финишировал 15-м в дебютной гонке во втором дивизионе NASCAR
",0.0
"Путин заявил о готовности РФ помогать беднейшим странам в продовольственных проблемах
",0.0
"Кадыров и Пригожин поддержали назначение Суровикина командующим войсками военной операции
",0.0
"ФАС не зафиксировала ажиотажа и роста цен на топливо в Крыму
",0.0
"Milliyet: Турция хочет организовать переговоры РФ с Западом по Украине
",0.0
"Аваль
",1.0
"Аванс
",1.0
"Авансированные средства
",1.0
"Авизо
",1.0
"Авторский договор
",1.0
"Агент
",1.0
"Агентская операция
",1.0
"Агентский договор
",1.0
"Административная ответственность
",1.0
"Аккредитация
",1.0
"Актив
",1.0
"Активы материальные
",1.0
"Активы нематериальные
",1.0
"Акцепт
",1.0
"Акцептант (трассат)
",1.0
"Акцептная форма расчетов
",1.0
"Акцизы
",1.0
"Акции
",1.0
"Акционер
",1.0
"Акционерное общество
",1.0
"Амортизация
",1.0
"Антимонопольное законодательство
",1.0
"Апостиль
",1.0
"Арбитражный суд
",1.0
"Аренда
",1.0
"Арендатор
",1.0
"Арендная плата
",1.0
"Арендодатель
",1.0
"Арест имущества
",1.0
"Ассортимент
",1.0
"Аудит
",1.0
"Аудитор
",1.0
"Аудиторские фирмы
",1.0
"База контракта
",1.0
"Базисная цена
",1.0
"Базовая рентабельность
",1.0
"Баланс бухгалтерский
",1.0
"Баланс консолидированный
",1.0
"Балансовая стоимость
",1.0
"Банк
",1.0
"Банки уполномоченные
",1.0
"Банковские операции
",1.0
"Банковский депозит
",1.0
"Банковский кредит
",1.0
"Банковский перевод
",1.0
"Банковский чек
",1.0
"Банкротство
",1.0
"Бартер
",1.0
"Бартерная сделка
",1.0
"Безналичные расчеты
",1.0
"Бенефициар
",1.0
"Биржа
",1.0
"Биржевая котировка
",1.0
"Больничный листок (листок нетрудоспособности)
",1.0
"Бонус
",1.0
"Брак продукции
",1.0
"Брокер
",1.0
"Бухгалтерская прибыль
",1.0
"Валюта
",1.0
"Валюта замкнутая, неконвертируемая
",1.0
"Валюта клиринговая
",1.0
"Валюта конвертируемая
",1.0
"Валюта национальная
",1.0
"Валюта твердая
",1.0
"Валютная котировка
",1.0
"Валютное законодательство
",1.0
"Валютные операции
",1.0
"Валютные рынки
",1.0
"Валютные условия контракта
",1.0
"Валютные ценности
",1.0
"Валютный курс
",1.0
"Валютный опцион
",1.0
"Варрант
",1.0
"Ввозные пошлины
",1.0
"Ведомость аналитического учета
",1.0
"Ведомость оборотная
",1.0
"Векселедатель
",1.0
"Векселедержатель
",1.0
"Вексель
",1.0
"Вексель опротестованный
",1.0
"Венчурные операции
",1.0
"Верховный суд
",1.0
"Вещи недвижимые
",1.0
"Взаимозаменяемые товары
",1.0
"Взаимозачет
",1.0
"Внебалансовые счета
",1.0
"Внешнеторговые сделки
",1.0
"Внутренний аудит
",1.0
"Временные работники
",1.0
"Встречный иск
",1.0
"Вынужденный прогул
",1.0
"Выходное пособие
",1.0
"Выходные дни
",1.0
"Гарантийное обязательство
",1.0
"Гарантия
",1.0
"Гонорар авторский
",1.0
"Государственная пошлина
",1.0
"Государственная регистрация ценных бумаг
",1.0
"Государственная регистрация юридического лица
",1.0
"Государственная собственность
",1.0
"Гражданская ответственность
",1.0
"Гражданский иск
",1.0
"Гражданский процесс
",1.0
"Гражданство
",1.0
"Грузоотправитель
",1.0
"Грузополучатель
",1.0
"Гудвилл
",1.0
"Давальческое сырье
",1.0
"Давность исковая
",1.0
"Дарение
",1.0
"Движение денежных средств
",1.0
"Двойное налогообложение
",1.0
"Де-факто
",1.0
"Дебет
",1.0
"Дебетовое сальдо
",1.0
"Дебитор
",1.0
"Дебиторская задолженность
",1.0
"Девальвация
",1.0
"Декларант
",1.0
"Декларация
",1.0
"Делькредере
",1.0
"Демпинг
",1.0
"Демпинг товарный
",1.0
"Денежная система
",1.0
"Денежные знаки
",1.0
"Деньги
",1.0
"Депозит
",1.0
"Депозитарий
",1.0
"Депонент
",1.0
"Дефицит бюджетный
",1.0
"Дефлятор
",1.0
"Дивиденд
",1.0
"Дилер
",1.0
"Дистрибьютор
",1.0
"Доверенность
",1.0
"Договор в пользу третьего лица
",1.0
"Договор найма жилого помещения
",1.0
"Должник
",1.0
"Доминирующее положение на рынке
",1.0
"Допустимый предел колебаний цен
",1.0
"Дорожные чеки
",1.0
"Досудебная санация
",1.0
"Доходы
",1.0
"Евро
",1.0
"Евровалюта
",1.0
"Евродоллары
",1.0
"Еврокард
",1.0
"Еврорынок
",1.0
"Емкость рынка
",1.0
"Жизненный цикл товара
",1.0
"Жиро
",1.0
"Жирочеки
",1.0
"Давальческое сырье
",1.0
"Давность исковая
",1.0
"Дарение
",1.0
"Движение денежных средств
",1.0
"Двойное налогообложение
",1.0
"Де-факто
",1.0
"Дебет
",1.0
"Дебетовое сальдо
",1.0
"Дебитор
",1.0
"Дебиторская задолженность
",1.0
"Девальвация
",1.0
"Декларант
",1.0
"Декларация
",1.0
"Делькредере
",1.0
