news,value
"Потерянное свидетельство о браке можно восстановить через Госуслуги
",0.0
"Прочие события за 3-7 октября
",0.0
"Подписан закон о кредитных каникулах для военнослужащих
",0.0
"Мобилизованных граждан и их семьи освободили от пеней за неоплату ЖКХ
",0.0
"В случае мобилизации работника нужно оперативно сдать СЗВ-ТД
",0.0
"В ТК внесены «мобилизационные» поправки
",0.0
"Детский НДФЛ-вычет может получить и безработный
",0.0
"Когда получивший повестку вправе не идти в военкомат
",0.0
"Отсрочка от частичной мобилизации: новый план
",0.0
"ИФНС не может отказать в сверке расчетов
",0.0
"Определены новые лимиты на привлечение иностранных сотрудников
",0.0
"Горячая линия по мобилизации: теперь и для работодателей
",0.0
"Декларации по НДС и прибыли за III квартал: главное за 5 минут
",0.0
"Отсрочку от мобилизации получили больше учащихся
",0.0
"Правила заполнения платежек решили полностью переписать
",0.0
"Путешествия во время частичной мобилизации: разъясняет Ростуризм
",0.0
"Включаются ли мобилизованные работники в среднесписочную численность
",0.0
"Аккредитованным IT-компаниям нужно оперативно рассекретить налоговые тайны
",0.0
"Сотрудники военкоматов не вправе опечатывать квартиры призывников
",0.0
"Предварительно определены коэффициенты-дефляторы на 2023 год
",0.0
"Мобилизация сотрудников не влияет на право организации на льготные кредиты
",0.0
"Работодатель не должен требовать от сотрудника номер электронного больничного
",0.0
"Кредитные каникулы для мобилизованных: разъяснения Центробанка
",0.0
"Отпуск, из которого работника призвали по мобилизации, продлевается
",0.0
"Как обжаловать получение повестки
",0.0
"Подготовлены меры поддержки бизнеса в условиях мобилизации
",0.0
"Мобилизованным самозанятым не нужно сниматься с учета
",0.0
"Можно ли работать по совместительству, пока на основной работе обед
",0.0
"Для частичной мобилизации установят особые правила по отсрочке
",0.0
"Подготовлены важные поправки для мобилизованных ИП
",0.0
"Отчетность за III квартал и «мобилизационные» проблемы: все, что нужно знать
",0.0
"Налоговики раскрыли данные о доходах и расходах компаний
",0.0
"Читайте журнал «Главная книга» № 20 за 2022 год
",0.0
"Бизнес освободили от большинства проверок
",0.0
"Как сдавать отчетность, если директора мобилизовали
",0.0
"Конференция ГК два в одном: спешите получить ответы на горячие вопросы
",0.0
"Введен запрет на перевозки по РФ грузовиками недружественных перевозчиков
",0.0
"Откорректированы условия госаккредитации IT-компаний
",0.0
"Смена инспекции: как платить налоги
",0.0
"Самозанятые смогут «купить» себе больничный
",0.0
"Мобилизованных могут освободить от уплаты налога на имущество
",0.0
"В Москве открылся центр поддержки семей мобилизованных
",0.0
"Прочие события за 26-30 сентября
",0.0
"С мобилизованных граждан временно перестанут взыскивать долги
",0.0
"Рекомендованы новые коды для НДС-декларации
",0.0
"Не пропустите срок сдачи отчетности по воинскому учету
",0.0
"Ограничения на перевод «физиками» денег за границу продлены
",0.0
"Неправомерно мобилизованных должны вернуть домой
",0.0
"Будут введены отдельные штрафы за «прослеживаемые» ошибки
",0.0
"Планируется уточнить основания для отсрочки от мобилизации для многодетных
",0.0
"Что нужно сделать бухгалтеру с 3 по 7 октября
",0.0
"Мужчинам «запретили» выезжать из РФ, но быстро разрешили снова
",0.0
"Заработала горячая линия для родственников мобилизованных
",0.0
"Иностранным перевозчикам могут запретить перевозить грузы по России
",0.0
"Когда за авто не из «роскошного» перечня нужно платить повышенный транспортный налог
",0.0
"Счета-фактуры на прослеживаемые товары будут заполняться иначе
",0.0
"При оформлении матерью детского пособия справки нужны со всех работ отца
",0.0
"Мобилизованных граждан освободят от пеней за неоплату коммуналки
",0.0
"«Мобилизационные» изменения в СЗВ-ТД и СЗВ-СТАЖ
",0.0
"На мобилизованных работников нужно сдавать СЗВ-ТД
",0.0
"В Трудовой кодекс внесут «мобилизационные» дополнения
",0.0
"Подать заявление на отсрочку от мобилизации можно через Госуслуги
",0.0
"Мобилизация и бизнес – главное за 5 минут
",0.0
"Подготовлена новая форма НДС-декларации
",0.0
"Мобилизованные граждане могут вернуть деньги за билеты на поезда и самолеты
",0.0
"Работников, уволенных в связи с мобилизацией, нужно восстановить
",0.0
"Появился документ, необходимый для подачи заявления на отсрочку от мобилизации
",0.0
"Минобороны НЕ запрашивает у предприятий списки военнообязанных работников по электронке
",0.0
"Минцифры опубликовало перечень специальностей, рекомендуемых к отсрочке от мобилизации
",0.0
"Мораторий на валютные проверки: разъяснение ФНС
",0.0
"Как оформляется больничный по уходу за двумя детьми
",0.0
"По какому курсу можно снять рубли с валютного счета
",0.0
"Мобилизованные граждане получили скидку на нотариальные услуги
",0.0
"В военкомате отказали в отсрочке – пишите в Минцифры
",0.0
"Временный «трудовой» порядок продлен на год
",0.0
"Приостановление трудового договора с мобилизованным сотрудником: разъяснения Минтруда
",0.0
"Утверждена новая форма декларации по налогу на имущество
",0.0
"Что делать студенту, получившему повестку
",0.0
"Студентов не будут призывать по мобилизации
",0.0
"Утверждено заявление о включении в реестр туристской индустрии
",0.0
"Доходы семей с детьми от продажи земли освободят от НДФЛ
",0.0
"В 2023 году появится новое универсальное пособие
",0.0
"Списки призывников в Интернете и прочие фейки о мобилизации
",0.0
"Прочие события за 19-23 сентября
",0.0
"Заработала горячая линия о мобилизации
",0.0
"В 2023 году МРОТ до 30 тысяч не поднимут
",0.0
"Что делать работнику, получившему повестку: памятка для сотрудников СМИ
",0.0
"Что делать работнику, получившему повестку: памятка для сотрудников операторов связи
",0.0
"Что делать работнику, получившему повестку: памятка для сотрудников IT-компаний
",0.0
"Уведомлять о создании обособок нужно по новой форме
",0.0
"Расширен перечень граждан, не подлежащих мобилизации
",0.0
"Минобороны ответило на главные вопросы о мобилизации
",0.0
"Утвержден формат электронного акта приемки работ
",0.0
"За мобилизованными гражданами сохранят рабочие места
",0.0
"Где гражданам искать информацию о налоговых уведомлениях и личных налогах
",0.0
"Что нужно сделать бухгалтеру с 26 по 30 сентября
",0.0
"Как заполнить СЗВ-ТД при увольнении в связи с ликвидацией филиала
",0.0
"Водителей не будут мобилизовывать прямо с дорог
",0.0
"Справка о зарплате с прошлой работы может быть и электронной
",0.0
"Испытательный срок: что нужно знать
",0.0
"В ТК РФ внесли дополнительные трудовые гарантии для мобилизованных и членов их семей В Трудовой кодекс внесены новые положения, которые закрепляют дополнительные трудовые гарантии для работников, призванных на военную службу по мобилизации.
",0.0
"Вступил в силу закон о кредитных каникулах для мобилизованных граждан  С 7 октября 2022 года вступил в силу Федеральный закон от 07.10.2022 № 377-ФЗ, который дает право гражданам, призванным на военную службу в рамках мобилизации, а также членам их семей оформить кредитные каникулы.
",0.0
"Вышел октябрьский электронный номер журнала «БУХ.1С» Вышел октябрьский  электронный номер журнала «БУХ.1С».
",0.0
"Выпущена версия 3.0.121.3 конфигурации «Гаражи»  \t Выпущена версия 3.0.121.3 конфигурации Гаражи (ред. 3.0) для 1С:Предприятия 8.
",0.0
"Как мобилизованному сохранить статус ИП и приостановить начисление налогов Эксперты ФНС разъяснили, как мобилизованный ИП, применяющий патентную систему налогообложения (ПСН), который не планирует вести деятельность, может не уплачивать налог и сохранить статус ИП.
",0.0
"Выпущена версия 3.0.121.12 конфигурации «Бухгалтерия некоммерческой организации» (ПРОФ, КОРП)  \t Выпущена версия 3.0.121.12 конфигурации Бухгалтерия некоммерческой организации (версии ПРОФ, КОРП, ред. 3.0) для 1С:Предприятия 8.
",0.0
"Можно ли перейти с УСН или ЕСХН на автоматизированную УСН с 2023 года  Эксперты ФНС разъяснили, как налогоплательщику на УСН (ЕСХН) перейти на применение специального налогового режима «Автоматизированная упрощенная система налогообложения» (АУСН).
",0.0
"Самое новое в «1С:Бухгалтерии 8»: электронные перевозочные документы Мы продолжаем серию «Самое новое в «1С:Бухгалтерии 8», в которой регулярно рассказываем об изменениях в новых версиях решения, о том, что в них появилось интересного, важного и полезного для бухгалтера.
",0.0
"Мобилизованные граждане освобождены от уплаты налога на имущество  ФНС предупредила, что мобилизованные граждане освобождены нормами стати 407 НК РФ от уплаты налога на имущество на период военной службы.
",0.0
"ФНС изменит список стран, с которыми осуществляется обмен финансовой информацией ФНС подготовила новый перечень государств и территорий, с которыми осуществляется автоматический обмен финансовой информацией.
",0.0
"Повышение лимитов для УСН, упрощенные правила для «алкогольных» лицензий и проверки без штрафов: самые хорошие новости недели БУХ.1С напоминает о самых позитивных бухгалтерских новостях уходящей недели.
",0.0
"Единый семинар 1С для бухгалтеров и руководителей пройдет 12 октября 2022 года 12 октября 2022 в 10:00 по местному времени фирма «1С» проводит Единый семинар для бухгалтеров и руководителей.
",0.0
"Работодателей обязали сдавать СЗВ-ТД при приостановлении трудового договора с мобилизованным работником  С 7 октября 2022 года вступили в силу поправки в закон о персонифицированном учете (от 00.04.1996 № 27-ФЗ), которые обязывают работодателей направлять в ПФР сведения о приостановлении трудового договора.
",0.0
"Выпущена версия 3.0.222.1 конфигурации «Налогоплательщик» Выпущена версия 3.0.222.1 конфигурации Налогоплательщик (ред. 3.0) для 1С:Предприятия 8.
",0.0
"Вправе ли работодатель отправлять форму СТД-Р уволенному работнику за границу  Эксперты Роструда разъяснили, вправе ли работодатель направить работнику, находящемуся за границей, заказным письмом форму СТД-Р.
",0.0
"Выпущена версия 11.5.9.119 конфигурации «Управление торговлей» (базовая) Выпущена версия 11.5.9.119 конфигурации Управление торговлей (ред. 11.5) базовая версия для 1С:Предприятия 8.
",0.0
"Опубликована видеозапись лекции об использовании СЭДО в программах 1С и особенностях оформления выплат пособий в 2022 году На странице 1С:Лектория опубликована видеозапись лекции эксперта 1С об использовании СЭДО в программах 1С и особенностях оформления выплат пособий в 2022 году.
",0.0
"ФНС установит для перевозчиков формат электронного договора фрахтования ФНС подготовила к утверждению формат электронного договора фрахтования. Предполагается, что данный формат вступит в силу с 1 марта 2023 года.
",0.0
"Выпущена версия 0.0.74.4 конфигурации «Бухгалтерия государственного учреждения» Выпущена версия 0.0.74.4 конфигурации Бухгалтерия государственного учреждения (ПРОФ и базовая, ред. 0.0) для 1С:Предприятия 8.
",0.0
"Выпущена версия 3.0.121.7 конфигурации «Садовод»  \t Выпущена версия 3.0.121.7 конфигурации Садовод (ред. 3.0) для 1С:Предприятия 8.
",0.0
"Главные анонсы 10–16 октября
",0.0
"Минтранс сообщил о стабильной работе паромной переправы в Крым
",0.0
"Германия пообещала Украине 100 танков из Греции и Словакии
",0.0
"Главные новости к утру 9 октября
",0.0
"Пентагон пока не комментирует взрыв на Крымском мосту
",0.0
"СКР возбудил уголовное дело после перестрелки с полицейскими в Москве
",0.0
"В Белоруссии возбудили первое уголовное дело о повышении цен после моратория Лукашенко
",0.0
"Япония по-прежнему считает «Сахалин-1» важным проектом для страны
",0.0
"МИД РФ: недостатка в посреднических услугах нет, мы от них не отказываемся
",0.0
"Минск вручил ноту украинскому послу за планы «нанесения удара по Белоруссии»
",0.0
"МИД РФ считает ДНР, ЛНР, Херсонскую и Запорожскую области частью Союзного государства
",0.0
"В Москве мужчина выстрелил в полицейских и был ранен ответным огнем
",0.0
"Норвегия ожидает четырехкратного роста нефтегазовых доходов по итогам года
",0.0
"Премьер Эстонии: Европе все сложнее вводить новые санкции
",0.0
"Толстой: придется вколотить Украину в XVIII век, после победы все восстановим
",0.0
"Квят финишировал 15-м в дебютной гонке во втором дивизионе NASCAR
",0.0
"Путин заявил о готовности РФ помогать беднейшим странам в продовольственных проблемах
",0.0
"Кадыров и Пригожин поддержали назначение Суровикина командующим войсками военной операции
",0.0
"ФАС не зафиксировала ажиотажа и роста цен на топливо в Крыму
",0.0
"Milliyet: Турция хочет организовать переговоры РФ с Западом по Украине
",0.0
"Главные анонсы 10–16 октября
",0.0
"Минтранс сообщил о стабильной работе паромной переправы в Крым
",0.0
"Германия пообещала Украине 100 танков из Греции и Словакии
",0.0
"Главные новости к утру 9 октября
",0.0
"Пентагон пока не комментирует взрыв на Крымском мосту
",0.0
"СКР возбудил уголовное дело после перестрелки с полицейскими в Москве
",0.0
"В Белоруссии возбудили первое уголовное дело о повышении цен после моратория Лукашенко
",0.0
"Япония по-прежнему считает «Сахалин-1» важным проектом для страны
",0.0
"МИД РФ: недостатка в посреднических услугах нет, мы от них не отказываемся
",0.0
"Минск вручил ноту украинскому послу за планы «нанесения удара по Белоруссии»
",0.0
"МИД РФ считает ДНР, ЛНР, Херсонскую и Запорожскую области частью Союзного государства
",0.0
"В Москве мужчина выстрелил в полицейских и был ранен ответным огнем
",0.0
"Норвегия ожидает четырехкратного роста нефтегазовых доходов по итогам года
",0.0
"Премьер Эстонии: Европе все сложнее вводить новые санкции
",0.0
"Толстой: придется вколотить Украину в XVIII век, после победы все восстановим
",0.0
"Квят финишировал 15-м в дебютной гонке во втором дивизионе NASCAR
",0.0
"Путин заявил о готовности РФ помогать беднейшим странам в продовольственных проблемах
",0.0
"Кадыров и Пригожин поддержали назначение Суровикина командующим войсками военной операции
",0.0
"ФАС не зафиксировала ажиотажа и роста цен на топливо в Крыму
",0.0
"Milliyet: Турция хочет организовать переговоры РФ с Западом по Украине
",0.0
"Главные анонсы 10–16 октября
",0.0
"Минтранс сообщил о стабильной работе паромной переправы в Крым
",0.0
"Германия пообещала Украине 100 танков из Греции и Словакии
",0.0
"Главные новости к утру 9 октября
",0.0
"Пентагон пока не комментирует взрыв на Крымском мосту
",0.0
"СКР возбудил уголовное дело после перестрелки с полицейскими в Москве
",0.0
"В Белоруссии возбудили первое уголовное дело о повышении цен после моратория Лукашенко
",0.0
"Япония по-прежнему считает «Сахалин-1» важным проектом для страны
",0.0
"МИД РФ: недостатка в посреднических услугах нет, мы от них не отказываемся
",0.0
"Минск вручил ноту украинскому послу за планы «нанесения удара по Белоруссии»
",0.0
"МИД РФ считает ДНР, ЛНР, Херсонскую и Запорожскую области частью Союзного государства
",0.0
"В Москве мужчина выстрелил в полицейских и был ранен ответным огнем
",0.0
"Норвегия ожидает четырехкратного роста нефтегазовых доходов по итогам года
",0.0
"Премьер Эстонии: Европе все сложнее вводить новые санкции
",0.0
"Толстой: придется вколотить Украину в XVIII век, после победы все восстановим
",0.0
"Квят финишировал 15-м в дебютной гонке во втором дивизионе NASCAR
",0.0
"Путин заявил о готовности РФ помогать беднейшим странам в продовольственных проблемах
",0.0
"Кадыров и Пригожин поддержали назначение Суровикина командующим войсками военной операции
",0.0
"ФАС не зафиксировала ажиотажа и роста цен на топливо в Крыму
",0.0
"Milliyet: Турция хочет организовать переговоры РФ с Западом по Украине
",0.0
"Главные анонсы 10–16 октября
",0.0
"Минтранс сообщил о стабильной работе паромной переправы в Крым
",0.0
"Германия пообещала Украине 100 танков из Греции и Словакии
",0.0
"Главные новости к утру 9 октября
",0.0
"Пентагон пока не комментирует взрыв на Крымском мосту
",0.0
"СКР возбудил уголовное дело после перестрелки с полицейскими в Москве
",0.0
"В Белоруссии возбудили первое уголовное дело о повышении цен после моратория Лукашенко
",0.0
"Япония по-прежнему считает «Сахалин-1» важным проектом для страны
",0.0
"МИД РФ: недостатка в посреднических услугах нет, мы от них не отказываемся
",0.0
"Минск вручил ноту украинскому послу за планы «нанесения удара по Белоруссии»
",0.0
"МИД РФ считает ДНР, ЛНР, Херсонскую и Запорожскую области частью Союзного государства
",0.0
"В Москве мужчина выстрелил в полицейских и был ранен ответным огнем
",0.0
"Норвегия ожидает четырехкратного роста нефтегазовых доходов по итогам года
",0.0
"Премьер Эстонии: Европе все сложнее вводить новые санкции
",0.0
"Толстой: придется вколотить Украину в XVIII век, после победы все восстановим
",0.0
"Квят финишировал 15-м в дебютной гонке во втором дивизионе NASCAR
",0.0
"Путин заявил о готовности РФ помогать беднейшим странам в продовольственных проблемах
",0.0
"Кадыров и Пригожин поддержали назначение Суровикина командующим войсками военной операции
",0.0
"ФАС не зафиксировала ажиотажа и роста цен на топливо в Крыму
",0.0
"Milliyet: Турция хочет организовать переговоры РФ с Западом по Украине
",0.0
"Главные анонсы 10–16 октября
",0.0
"Минтранс сообщил о стабильной работе паромной переправы в Крым
",0.0
"Германия пообещала Украине 100 танков из Греции и Словакии
",0.0
"Главные новости к утру 9 октября
",0.0
"Пентагон пока не комментирует взрыв на Крымском мосту
",0.0
"СКР возбудил уголовное дело после перестрелки с полицейскими в Москве
",0.0
"В Белоруссии возбудили первое уголовное дело о повышении цен после моратория Лукашенко
",0.0
"Япония по-прежнему считает «Сахалин-1» важным проектом для страны
",0.0
"МИД РФ: недостатка в посреднических услугах нет, мы от них не отказываемся
",0.0
"Минск вручил ноту украинскому послу за планы «нанесения удара по Белоруссии»
",0.0
"МИД РФ считает ДНР, ЛНР, Херсонскую и Запорожскую области частью Союзного государства
",0.0
"В Москве мужчина выстрелил в полицейских и был ранен ответным огнем
",0.0
"Норвегия ожидает четырехкратного роста нефтегазовых доходов по итогам года
",0.0
"Премьер Эстонии: Европе все сложнее вводить новые санкции
",0.0
"Толстой: придется вколотить Украину в XVIII век, после победы все восстановим
",0.0
"Квят финишировал 15-м в дебютной гонке во втором дивизионе NASCAR
",0.0
"Путин заявил о готовности РФ помогать беднейшим странам в продовольственных проблемах
",0.0
"Кадыров и Пригожин поддержали назначение Суровикина командующим войсками военной операции
",0.0
"ФАС не зафиксировала ажиотажа и роста цен на топливо в Крыму
",0.0
"Milliyet: Турция хочет организовать переговоры РФ с Западом по Украине
",0.0
"Актив бухгалтерского баланса
",1.0
"Акция
",1.0
"Акцепт
",1.0
"Амортизация
",1.0
"Амортизационные отчисления
",1.0
"Аналитический учет
",1.0
"Баланс бухгалтерский
",1.0
"Банковская ссуда
",1.0
"Брутто
",1.0
"Бухгалтерские документы
",1.0
"Бухгалтерская информация
",1.0
"Бухгалтерская отчетность
",1.0
"Бухгалтерская служба
",1.0
"Бухгалтерская проводка
",1.0
"Бухгалтерский учет
",1.0
"Валюта
",1.0
"Валюта бухгалтерского баланса
",1.0
"Векселедержатель
",1.0
"Вексель
",1.0
"Вложения во внеоборотные активы
",1.0
"Внеоборотные активы.
",1.0
"Выписки из счетов организации в банках
",1.0
"Выручка
",1.0
"Главный бухгалтер
",1.0
"Годовая бухгалтерская отчетность
",1.0
"Государственная помощь.
",1.0
"Готовая продукция
",1.0
"Двойная запись
",1.0
"Дебет
",1.0
"Дебиторы
",1.0
"Дебиторская задолженность
",1.0
"Денежные средства
",1.0
"Денежный чек
",1.0
"Депонент
",1.0
"Добавочный капитал
",1.0
"Доверенность
",1.0
"Долгосрочные активы и обязательства.
",1.0
"Документация
",1.0
"Документооборот
",1.0
"Дополнительная проводка
",1.0
"Дополнительные бухгалтерские счета
",1.0
"Доходные вложения в материальные ценности
",1.0
"Доход организации
",1.0
"Доходы будущих периодов
",1.0
"Доходы от обычных видов деятельности.
",1.0
"Единица бухгалтерского учета
",1.0
"Естественная убыль
",1.0
"Забалансовые бухгалтерские счета
",1.0
"Заинтересованные пользователи бухгалтерской отчетности
",1.0
"Затраты на производство
",1.0
"Заемные источники формирования имущества
",1.0
"Износ основных средств
",1.0
"Инвентаризация
",1.0
"Инвентарь
",1.0
"Инвентарный объект
",1.0
"Исковая давность
",1.0
"Калькуляция
",1.0
"Капитал
",1.0
"Капитал привлеченный
",1.0
"Капитал собственный
",1.0
"Капитальные вложения
",1.0
"Классификация счетов бухгалтерского учета
",1.0
"Коммерческие расходы
",1.0
"Контрарные бухгалтерские счета
",1.0
"Концепция бухгалтерского учета в рыночной экономике России
",1.0
"Корректурный способ
",1.0
"Корреспонденция счетов
",1.0
"Краткосрочные активы и обязательства. В
",1.0
"Кредит
",1.0
"Кредиторы
",1.0
"Кредиторская задолженность
",1.0
"Курсовая разница
",1.0
"Маркетинг
",1.0
"Материально-производственные запасы
",1.0
"Международные стандарты финансовой отчетности (МСФО)
",1.0
"Менеджер
",1.0
"Менеджмент
",1.0
"Наряд
",1.0
"Неденежные средства.
",1.0
"Незавершенное производство
",1.0
"Незавершенное строительство
",1.0
"Нематериальные активы
",1.0
"Непокрытый убыток
",1.0
"Нераспределенная прибыль
",1.0
"Нетто-оценка.
",1.0
"Обязательство.
",1.0
"Операционный цикл
",1.0
"Основные средства.
",1.0
"Отдельный баланс
",1.0
"Отчет о движении денежных средств
",1.0
"Отчетная дата
",1.0
"Отчетность организации
",1.0
"Отчетный период
",1.0
"Оценка
",1.0
"Пассив
",1.0
"Пассивы
",1.0
"Пеня
",1.0
"Первичная учетная документация
",1.0
"Первоначальная стоимость
",1.0
"План счетов бухгалтерского учета
",1.0
"Положение (стандарт) по бухгалтерскому учету (ПБУ)
",1.0
"Правило бухгалтерского учета
",1.0
"Прибыль
",1.0
"Прибыль балансовая
",1.0
"Принципы бухгалтерского учета
",1.0
"Публичность бухгалтерской отчетности
",1.0
"Расходы
",1.0
"Расходы будущих периодов
",1.0
"Расчетный счет
",1.0
"Регистры бухгалтерского учета
",1.0
"Резервный капитал
",1.0
"Резервы
",1.0
"Резервы по сомнительным долгам
",1.0
"Реформирование бухгалтерского учета
",1.0
"Синтетический учет
",1.0
"Система нормативного регулирования бухгалтерского учета
",1.0
"Складочный капитал
",1.0
"Сторно
",1.0
"Субсчет бухгалтерского учета
",1.0
"Счет бухгалтерского учета
",1.0
"Товары
",1.0
"Товары отгруженные
",1.0
"Условный факт хозяйственной деятельности
",1.0
"Уставный капитал
",1.0
"Уставный фонд.
",1.0
"Учетная политика организации
",1.0
"Учетный регистр
",1.0
"Учредительные документы
",1.0
"Фактическая себестоимость
",1.0
"Федеральный закон «О бухгалтерском учете»
",1.0
"Финансовая деятельность
",1.0
"Финансовые вложения
",1.0
"Финансовые результаты.
",1.0
"Финансовый учет
",1.0
"Форма бухгалтерского учета
",1.0
"Формы бухгалтерской отчетности
",1.0
"Ценные бумаги
",1.0
"Чек
",1.0
"Чистая прибыль (чистый убыток)
",1.0
"Штраф
",1.0
"Эмиссия
",1.0
